,State,Geographic area,Population,Density per square mile of land area - Population
226,Alabama,Blount County (part),0,0
606,Alabama,Blount County (part),0,0
483,Alabama,Cherokee County (part),0,0
264,Alabama,Fayette County (part),0,0
637,Alabama,St. Clair County (part),0,0
639,Alabama,Talladega County (part),0,0
729,Alaska,"Chisana CDP, Valdez-Cordova Census Area",0,0
754,Alaska,"Dot Lake CDP, Southeast Fairbanks Census Area",13,0
777,Alaska,"Flat CDP, Yukon-Koyukuk Census Area",0,0
804,Alaska,"Hobart Bay CDP, Hoonah-Angoon Census Area",1,0
861,Alaska,"Livengood CDP, Yukon-Koyukuk Census Area",13,0
876,Alaska,"Mertarvik CDP, Bethel Census Area",0,0
884,Alaska,"Nabesna CDP, Valdez-Cordova Census Area",5,0
924,Alaska,"Petersville CDP, Matanuska-Susitna Borough",4,0
1012,Alaska,"Ugashik CDP, Lake and Peninsula Borough",12,0
1438,Arizona,Gila County (part),0,0
1203,Arizona,Pinal County (part),0,0
1258,Arizona,Pinal County (part),0,0
1494,Arizona,Pinal County (part),0,0
1482,Arizona,Yavapai County (part),0,0
1799,Arkansas,St. Francis County (part),0,0
2117,California,"Almanor CDP, Plumas County",0,0
2307,California,"Caribou CDP, Plumas County",0,0
2333,California,"Cedar Slope CDP, Tulare County",0,0
3371,California,"Silver City CDP, Tulare County",0,0
3425,California,"Sugarloaf Mountain Park CDP, Tulare County",0,0
3510,California,"University of California Merced CDP, Merced County",0,0
3524,California,"Valley Wells CDP, Inyo County",0,0
3717,Colorado,Clear Creek County (part),0,0
4078,Colorado,Jefferson County (part),0,0
4086,Colorado,Weld County (part),0,0
4469,Delaware,New Castle County (part),0,0
5046,Florida,St. Johns County (part),0,0
5495,Georgia,Bleckley County (part),0,0
6146,Georgia,Haralson County (part),0,0
5865,Georgia,Hart County (part),0,0
5604,Georgia,Houston County (part),0,0
5744,Georgia,Irwin County (part),0,0
5496,Georgia,Laurens County (part),0,0
6640,Illinois,Champaign County (part),0,0
6750,Illinois,Cook County (part),0,0
6972,Illinois,Cook County (part),0,0
7058,Illinois,Cook County (part),0,0
7091,Illinois,Cook County (part),0,0
7162,Illinois,Cook County (part),0,0
8228,Illinois,Cook County (part),0,0
6723,Illinois,DuPage County (part),0,0
6910,Illinois,DuPage County (part),0,0
7083,Illinois,DuPage County (part),0,0
7959,Illinois,DuPage County (part),0,0
8208,Illinois,DuPage County (part),0,0
6880,Illinois,Jefferson County (part),0,0
6719,Illinois,Kane County (part),0,0
7310,Illinois,Kane County (part),0,0
6670,Illinois,Lake County (part),0,0
7755,Illinois,Lake County (part),0,0
6991,Illinois,LaSalle County (part),0,0
7884,Illinois,Lee County (part),0,0
7125,Illinois,Marion County (part),0,0
7096,Illinois,McLean County (part),0,0
